Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aruba,ABW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.23353621008,95.3590561720825,95.484576134085,95.6100960960874,95.7356160580899,95.8611360200924,95.9866559820949,96.1121759440973,96.2376959060998,96.3632158681023,96.4887358301048,96.6142557921072,96.7397757541097,96.7397757541097,96.7397757541097,96.7397757541097,96.7397757541097,,,,,,,,,
Afghanistan,AFG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.7309664339367,29.7629255070812,31.8360773279001,33.9086290770251,35.9993546342258,38.1080542246859,40.2157630407476,42.4294955631251,44.6537922388598,46.8885842088645,49.1337948047642,51.3896718184372,53.6558094830286,55.9321352223542,58.2185747849882,60.5153476686209,62.8220704134542,65.142136058033,67.4758694595857,69.8226976480641,72.1820710205908,74.5545259961346,76.9392075646596,78.926564391722,80.8324374493852,
Angola,AGO,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8422368865436,38.3388157469695,38.8353924997189,40.3965157225134,41.9772367862102,43.5743439976406,45.0139996038983,46.4686546771725,47.9390179800655,49.4231763682417,50.922281472487,52.4357414255652,53.962934811933,55.5032279600653,57.0569115656449,58.6196312007677,60.1920620185519,61.7735122104541,63.3627907388021,64.1599110373067,64.9440305436538,65.716257719435,66.47632731978,67.2244252588497,67.9607422242112,
Albania,ALB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3970424808695,86.9040698997327,87.4516361586881,87.9871911194175,88.5105821172325,89.0211900611453,89.519134788664,90.0041896316486,90.4761525015769,90.9344131913267,91.3794795002437,91.8108839327421,92.2287796980299,92.6315947140716,93.0200532320908,93.3943279564504,93.7548764271568,94.1020950646956,94.4363940024548,94.758223221518,95.0680381522002,95.0815150513051,95.0945651327655,95.107207538325,95.1194270680062,
Andorra,AND,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9999977350507,99.9999981868428,100.0,100.0,99.999995252479,100.0,100.0,100.0,100.0,99.9999971715362,99.9999980431632,100.0,99.9999982821599,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9999952180714,100.0,99.9999963147646,100.0,100.0,
United Arab Emirates,ARE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6158333255027,99.6138918433509,99.6347999053031,99.655965555115,99.6773760456002,99.6990274979322,99.7209168610159,99.7430448059765,99.7654123439436,99.7879969026798,99.8107941876286,99.8338027658417,99.857009861268,99.8804113765895,99.903989878004,99.927750524332,99.9516742010968,99.9757617709263,100.0,99.9999978860586,99.9999979225426,100.0,100.0,99.9999970727207,100.0,
Argentina,ARG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2840256103646,96.5228185604677,96.755473929203,96.9824151631383,97.2043389305384,97.421184805077,97.633212136416,97.8403603213706,98.0428748675662,98.2407366706243,98.434051534291,98.6218573444855,98.8052992922814,98.8642047608292,98.9232481866542,98.9823076742804,99.0413738458383,,,,,,,,,
Armenia,ARM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6686709319985,95.8831045898119,96.1112432491429,96.3451158105318,96.5805389121638,96.8174664083954,97.0560181785414,97.2960930151798,97.5377930144249,97.7810340877485,98.0258624289459,98.272291670612,98.5203266865955,98.7705613555546,99.0173502975581,99.2198934316356,99.3200449240504,99.420451960465,99.462639280417,99.4591789118501,99.4561137881716,99.4534764633698,99.9128544293373,99.9222036184019,99.9315721509168,
American Samoa,ASM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0344768560381,95.2698888592873,95.5053008625365,95.7407128657857,95.9761248690348,96.2115368722841,96.4469488755332,96.6823608787824,96.9177728820316,97.1531848852808,97.3885968885299,97.6240088917791,97.8594208950283,98.0948328982775,98.3302449015267,98.5656569047758,98.801068908025,99.0364809112742,99.2718929145234,99.5073049177726,99.7427169210217,99.9781289242709,100.0,100.0,100.0,
Antigua and Barbuda,ATG,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4577878338136,97.5248437141817,97.5893217683329,97.6549763744198,97.7217760832298,97.7897055772759,97.8587455751822,97.9288759157596,98.0000819253765,98.0723568247824,98.1456600056125,98.2201657181989,98.2971057730873,98.3743397990659,98.4518716600129,98.5296965955538,98.6078413769816,98.6862412364466,98.7648515516048,98.8436169017974,98.9224941519798,98.9226250605056,98.9227120997739,98.9227464138028,98.9227269324043,
